Date,Price,Open,High,Low,Vol.,Change %
10/29/2025,3.2604,3.2587,3.2647,3.2385,,0.15%
10/28/2025,3.2555,3.2541,3.2694,3.2461,,-0.02%
10/27/2025,3.256,3.2734,3.2866,3.2479,,-0.71%
10/24/2025,3.2794,3.2852,3.2978,3.2742,,-0.15%
10/23/2025,3.2844,3.303,3.3131,3.2829,,-0.56%
10/22/2025,3.303,3.2943,3.3119,3.2863,,0.14%
10/21/2025,3.2984,3.2858,3.304,3.2794,,0.34%
10/20/2025,3.2873,3.3154,3.322,3.2816,,-0.39%
10/17/2025,3.3003,3.3105,3.3318,3.2978,,-0.33%
10/16/2025,3.3112,3.2764,3.317,3.2763,,1.06%
10/15/2025,3.2764,3.3146,3.3196,3.2745,,-1.09%
10/14/2025,3.3126,3.2899,3.3385,3.2806,,0.68%
10/13/2025,3.2902,3.2974,3.3029,3.2673,,-0.52%
10/10/2025,3.3074,3.2557,3.313,3.2466,,1.58%
10/9/2025,3.2558,3.267,3.2727,3.2361,,-0.32%
10/8/2025,3.2661,3.2782,3.3,3.263,,-0.41%
10/7/2025,3.2794,3.2697,3.2856,3.2674,,0.30%
10/6/2025,3.2695,3.2836,3.2929,3.261,,-0.78%
10/3/2025,3.2952,3.3116,3.327,3.2885,,-0.68%
10/2/2025,3.3178,3.32,3.3256,3.3015,,-0.09%
10/1/2025,3.3207,3.3084,3.3303,3.3024,,0.37%
9/30/2025,3.3085,3.2917,3.3183,3.288,,0.51%
9/29/2025,3.2917,3.3398,3.3368,3.2874,,-1.79%
9/26/2025,3.3517,3.3535,3.3711,3.3467,,-0.05%
9/25/2025,3.3535,3.3474,3.3693,3.339,,0.08%
9/24/2025,3.3507,3.3496,3.367,3.337,,0.20%
9/23/2025,3.3441,3.3479,3.357,3.336,,-0.11%
9/22/2025,3.3479,3.3332,3.3632,3.3278,,0.53%
9/19/2025,3.3304,3.3351,3.3483,3.3259,,-0.04%
9/18/2025,3.3316,3.3435,3.3532,3.3298,,-0.38%
9/17/2025,3.3443,3.3249,3.3511,3.3158,,0.59%
9/16/2025,3.3248,3.3516,3.3564,3.3195,,-0.81%
9/15/2025,3.3521,3.3385,3.3554,3.3301,,0.52%
9/12/2025,3.3349,3.3215,3.34,3.319,,0.38%
9/11/2025,3.3223,3.329,3.345,3.3188,,-0.27%
9/10/2025,3.3312,3.345,3.3499,3.3183,,-0.41%
9/9/2025,3.3448,3.3208,3.3587,3.3125,,0.66%
9/8/2025,3.323,3.3531,3.3558,3.3134,,-0.43%
9/5/2025,3.3374,3.3454,3.3549,3.3229,,-0.24%
9/4/2025,3.3454,3.3663,3.3723,3.3399,,-0.40%
9/3/2025,3.3589,3.3802,3.3876,3.3559,,-0.53%
9/2/2025,3.3769,3.3617,3.3989,3.3559,,0.48%
9/1/2025,3.3609,3.3365,3.3646,3.3294,,0.56%
8/29/2025,3.3423,3.328,3.3507,3.3209,,0.43%
8/28/2025,3.328,3.3324,3.3404,3.3174,,-0.10%
8/27/2025,3.3313,3.3581,3.3637,3.3265,,-0.80%
8/26/2025,3.3582,3.3819,3.3905,3.3476,,-0.69%
8/25/2025,3.3816,3.3705,3.392,3.36,,0.33%
8/22/2025,3.3704,3.4086,3.4151,3.3657,,-1.02%
8/21/2025,3.405,3.405,3.4223,3.4008,,-0.06%
8/20/2025,3.4071,3.3985,3.4163,3.3921,,0.26%
8/19/2025,3.3983,3.3801,3.4014,3.3732,,0.59%
8/18/2025,3.3782,3.3819,3.4005,3.3729,,0.03%
8/15/2025,3.3773,3.383,3.3915,3.3702,,-0.17%
8/14/2025,3.3829,3.3831,3.3983,3.3745,,0.00%
8/13/2025,3.3829,3.4118,3.4176,3.375,,-0.85%
8/12/2025,3.4118,3.4141,3.4343,3.4066,,-0.07%
8/11/2025,3.4142,3.42,3.4303,3.4079,,-0.50%
8/8/2025,3.4312,3.416,3.4493,3.4121,,0.49%
8/7/2025,3.4144,3.4398,3.447,3.4103,,-0.74%
8/6/2025,3.4399,3.4523,3.4594,3.4252,,-0.34%
8/5/2025,3.4517,3.42,3.4603,3.414,,0.92%
8/4/2025,3.4201,3.4141,3.4258,3.3983,,0.18%
8/1/2025,3.4141,3.3955,3.4287,3.3878,,0.58%
7/31/2025,3.3945,3.3833,3.4012,3.3723,,0.33%
7/30/2025,3.3833,3.3762,3.3848,3.3579,,0.51%
7/29/2025,3.3663,3.3521,3.3807,3.3492,,0.28%
7/28/2025,3.3569,3.3584,3.3643,3.3447,,0.07%
7/25/2025,3.3545,3.3487,3.3657,3.3414,,0.19%
7/24/2025,3.3483,3.3303,3.3591,3.3232,,0.54%
7/23/2025,3.3303,3.3401,3.3446,3.3216,,-0.29%
7/22/2025,3.3401,3.3434,3.3618,3.3362,,-0.10%
7/21/2025,3.3436,3.3572,3.3679,3.339,,-0.60%
7/18/2025,3.3637,3.3607,3.3687,3.3466,,0.09%
7/17/2025,3.3608,3.3565,3.3733,3.3473,,0.13%
7/16/2025,3.3565,3.3627,3.3741,3.3441,,-0.11%
7/15/2025,3.3603,3.3509,3.3698,3.3383,,0.29%
7/14/2025,3.3505,3.3332,3.3747,3.3287,,0.50%
7/11/2025,3.3337,3.3084,3.34,3.3039,,0.76%
7/10/2025,3.3084,3.3204,3.3233,3.2989,,-0.26%
7/9/2025,3.317,3.3557,3.36,3.3086,,-1.13%
7/8/2025,3.3549,3.3512,3.3665,3.3389,,-0.11%
7/7/2025,3.3585,3.3321,3.3643,3.3262,,0.54%
7/4/2025,3.3404,3.3187,3.3562,3.3176,,0.39%
7/3/2025,3.3274,3.3715,3.3783,3.3242,,-1.31%
7/2/2025,3.3715,3.3756,3.3855,3.3633,,-0.20%
7/1/2025,3.3784,3.3794,3.3907,3.3621,,0.20%
6/30/2025,3.3717,3.3854,3.3875,3.3609,,-0.49%
6/27/2025,3.3884,3.3911,3.3983,3.3724,,-0.14%
6/26/2025,3.3932,3.4043,3.4128,3.3695,,-0.28%
6/25/2025,3.4027,3.409,3.4193,3.3931,,-0.12%
6/24/2025,3.4067,3.4448,3.4478,3.3857,,-1.12%
6/23/2025,3.4452,3.4576,3.4875,3.4412,,-1.31%
6/20/2025,3.4908,3.4895,3.5002,3.4702,,0.05%
6/19/2025,3.4891,3.4836,3.5032,3.4737,,0.06%
6/18/2025,3.487,3.5128,3.517,3.4607,,-0.73%
6/17/2025,3.5128,3.4986,3.5252,3.4846,,0.39%
6/16/2025,3.4991,3.5883,3.603,3.4651,,-3.40%
6/13/2025,3.6222,3.5562,3.6844,3.5496,,1.86%
6/12/2025,3.556,3.535,3.582,3.5261,,0.55%
6/11/2025,3.5367,3.494,3.5432,3.4822,,1.12%
6/10/2025,3.4975,3.4922,3.5026,3.4762,,0.15%
6/9/2025,3.4923,3.4985,3.509,3.4816,,-0.30%
6/6/2025,3.5027,3.4917,3.5109,3.4822,,0.35%
6/5/2025,3.4904,3.4864,3.4993,3.4662,,0.11%
6/4/2025,3.4864,3.5189,3.5326,3.4752,,-0.90%
6/3/2025,3.5181,3.5199,3.5392,3.5131,,-0.04%
6/2/2025,3.5196,3.5202,3.547,3.511,,0.17%
5/30/2025,3.5135,3.4909,3.5291,3.4835,,0.65%
5/29/2025,3.4909,3.5112,3.5242,3.476,,-0.60%
5/28/2025,3.5121,3.5389,3.5512,3.5017,,-0.67%
5/27/2025,3.5358,3.5536,3.5672,3.5273,,-0.56%
5/26/2025,3.5558,3.5796,3.5925,3.547,,-1.14%
5/23/2025,3.5969,3.5921,3.623,3.5854,,0.01%
5/22/2025,3.5966,3.55,3.602,3.547,,1.03%
5/21/2025,3.5598,3.5336,3.567,3.5291,,1.08%
5/20/2025,3.5219,3.534,3.5451,3.5147,,-0.11%
5/19/2025,3.5259,3.5519,3.5591,3.5229,,-0.79%
5/16/2025,3.5541,3.5566,3.5628,3.5419,,-0.07%
5/15/2025,3.5565,3.5501,3.5603,3.5337,,0.18%
5/14/2025,3.5502,3.5611,3.5665,3.5357,,-0.17%
5/13/2025,3.5562,3.5662,3.5893,3.5548,,-0.28%
5/12/2025,3.5661,3.5525,3.5751,3.5304,,0.44%
5/9/2025,3.5505,3.5725,3.5794,3.5363,,-0.62%
5/8/2025,3.5726,3.5834,3.5904,3.5686,,-0.30%
5/7/2025,3.5833,3.594,3.6072,3.5806,,-0.57%
5/6/2025,3.604,3.6126,3.6271,3.5873,,-0.29%
5/5/2025,3.6144,3.5878,3.6339,3.5878,,0.74%
5/2/2025,3.5878,3.6171,3.63,3.5762,,-0.81%
5/1/2025,3.6171,3.6339,3.6442,3.6045,,-0.45%
4/30/2025,3.6334,3.6205,3.6624,3.6181,,0.36%
4/29/2025,3.6205,3.6177,3.6324,3.6085,,0.09%
4/28/2025,3.6172,3.6201,3.6451,3.6093,,-0.13%
4/25/2025,3.622,3.6226,3.6369,3.6047,,0.04%
4/24/2025,3.6206,3.6479,3.6638,3.6143,,-0.78%
4/23/2025,3.6492,3.6977,3.7044,3.6338,,-1.31%
4/22/2025,3.6978,3.7143,3.732,3.6889,,-0.27%
4/21/2025,3.7079,3.6864,3.738,3.676,,0.68%
4/18/2025,3.683,3.6845,3.6971,3.671,,0.13%
4/17/2025,3.6782,3.6886,3.7031,3.6762,,-0.14%
4/16/2025,3.6834,3.6863,3.7019,3.6746,,0.05%
4/15/2025,3.6815,3.6818,3.7031,3.6718,,0.26%
4/14/2025,3.6718,3.7189,3.7226,3.6729,,-1.13%
4/11/2025,3.7138,3.7553,3.7661,3.7024,,-0.90%
4/10/2025,3.7476,3.739,3.7878,3.7255,,0.13%
4/9/2025,3.7427,3.7787,3.8416,3.7427,,-0.88%
4/8/2025,3.776,3.7768,3.8011,3.7398,,0.16%
4/7/2025,3.7699,3.7433,3.8096,3.7258,,1.05%
4/4/2025,3.7309,3.7014,3.7538,3.6897,,1.11%
4/3/2025,3.6901,3.7123,3.7402,3.6803,,-0.52%
4/2/2025,3.7095,3.6958,3.7174,3.6818,,0.47%
4/1/2025,3.6921,3.7257,3.732,3.6866,,-0.76%
3/31/2025,3.7202,3.6939,3.7423,3.6862,,0.86%
3/28/2025,3.6885,3.6749,3.7024,3.662,,0.48%
3/27/2025,3.6707,3.6931,3.7156,3.6634,,-0.30%
3/26/2025,3.6817,3.6633,3.7043,3.6493,,0.64%
3/25/2025,3.6584,3.6777,3.6907,3.6538,,-0.50%
3/24/2025,3.6766,3.7173,3.733,3.6702,,-1.03%
3/21/2025,3.7147,3.6779,3.7228,3.6657,,1.06%
3/20/2025,3.6757,3.6602,3.6886,3.6451,,0.69%
3/19/2025,3.6504,3.6687,3.6793,3.6464,,-0.42%
3/18/2025,3.6658,3.6444,3.6763,3.6362,,0.66%
3/17/2025,3.6417,3.6469,3.6756,3.632,,-0.10%
